,Learn
0,Alaska
1,Arkansas
2,Colorado
3,Connecticut
4,Delaware
5,Georgia
6,Hawaii
7,Idaho
8,Illinois
9,Kansas
10,Kentucky
11,Louisiana
12,Maryland
13,Michigan
14,Minnesota
15,Missouri
16,Montana
17,Nebraska
18,Nevada
19,New Hampshire
20,New Jersey
21,North Dakota
22,Oregon
23,Pennsylvania
24,Tennessee
25,Utah
26,Vermont
27,Wisconsin
28,Wyoming
